id,artist,title,price,label,labelnum,quantity,pic,created_at,updated_at
145,HONEY DRIPPERS (SEA OF LOVE),JIMMY PAGE / ROBERT PLANT / JEFF BECK,6,ATL,90220,1,,,
146,IGGY POP,IGGY & ZIGGY - CLEVELAND '77,7.5,CLEOP,3738,1,,,
147,IGGY POP,IGGY & ZIGGY - CLEVELAND '77 (COLOR),8,CLEOP,3738C,1,,,
148,IGGY POP,IGGY & ZIGGY - CLEVELAND '77 (180 GRAM),8.5,CLEOP,3738H,1,,,
149,IKE & TINA TURNER,RIVER DEEP MOUNTAIN HIGH,10.9,A&M,24308,1,,,
150,ISAAC HAYES,THE ISAAC HAYES MOVEMENT,6.5,ENTER,1010,1,,,
151,IT'S CHRISTMAS TIME AGAIN,ISAAC HAYES / JOHNNY TAYLOR / STAPLE SINGERS,6,STAX,8519,1,,,
152,JACO PASTORIUS,JACO PASTORIUS (180 GRAM),12,EPIC,33949,1,,,
153,JAMES CARR,A MAN NEEDS A WOMAN,8,GLWX,3002,1,,,
154,JAMES CARR,A MAN NEEDS A WOMAN (180 GRAM),8.5,GLWX,3002H,1,,,
155,JAMES CARR,YOU GOT MY MIND MESSED UP,8,GLWX,3001,1,,,
156,JAMES CARR,YOU GOT MY MIND MESSED UP (180 GRAM),8.5,GLWX,3001H,1,,,
157,JAMES HUNTER,THE HARD WAY (180 GRAM VINYL),6,HEARM,30851,1,,,
158,JAMES MASON,RHYTHM OF LIFE,8,CHRIS,189,1,,,
159,JET,SHINE ON (2 LP'S),8,ATL,74824,1,,,
160,JIMMY MCGRIFF,GROOVE GREASE,7,GRVM,503,1,,,
161,JIMMY MCGRIFF,GROOVE GREASE (180 GRAM),8,GRVM,503H,1,,,
162,JOE BYRD AND THE FIELD HIPPIES,AMERICAN METAPHYSICAL CIRCUS ,8.5,COLUM,7317,1,,,
